week_start,candidate_name,state,pct
2024-07-22,Donald Trump,Arizona,46.75
2024-07-22,Donald Trump,Georgia,47.15
2024-07-22,Donald Trump,Michigan,44.68
2024-07-22,Donald Trump,National,43.74444444444444
2024-07-22,Donald Trump,Nevada,45.0
2024-07-22,Donald Trump,North Carolina,46.0
2024-07-22,Donald Trump,Pennsylvania,44.775
2024-07-22,Donald Trump,Wisconsin,44.96666666666667
2024-07-22,Kamala Harris,Arizona,41.4
2024-07-22,Kamala Harris,Georgia,44.0
2024-07-22,Kamala Harris,Michigan,43.08
2024-07-22,Kamala Harris,National,43.56666666666667
2024-07-22,Kamala Harris,Nevada,43.0
2024-07-22,Kamala Harris,North Carolina,43.0
2024-07-22,Kamala Harris,Pennsylvania,43.825
2024-07-22,Kamala Harris,Wisconsin,45.13333333333333
2024-07-29,Donald Trump,Arizona,46.0
2024-07-29,Donald Trump,Georgia,47.0
2024-07-29,Donald Trump,Michigan,42.0
2024-07-29,Donald Trump,National,43.800000000000004
2024-07-29,Donald Trump,Nevada,44.5
2024-07-29,Donald Trump,North Carolina,45.0
2024-07-29,Donald Trump,Pennsylvania,45.4
2024-07-29,Donald Trump,Wisconsin,45.5
2024-07-29,Kamala Harris,Arizona,45.5
2024-07-29,Kamala Harris,Georgia,46.0
2024-07-29,Kamala Harris,Michigan,48.0
2024-07-29,Kamala Harris,National,45.32142857142857
2024-07-29,Kamala Harris,Nevada,44.0
2024-07-29,Kamala Harris,North Carolina,44.0
2024-07-29,Kamala Harris,Pennsylvania,46.35
2024-07-29,Kamala Harris,Wisconsin,46.0
2024-08-05,Donald Trump,Arizona,42.3
2024-08-05,Donald Trump,Georgia,46.0
2024-08-05,Donald Trump,Michigan,44.0
2024-08-05,Donald Trump,National,43.60833333333333
2024-08-05,Donald Trump,Nevada,40.0
2024-08-05,Donald Trump,North Carolina,45.0
2024-08-05,Donald Trump,Pennsylvania,45.25
2024-08-05,Donald Trump,Wisconsin,45.72
2024-08-05,Kamala Harris,Arizona,44.2
2024-08-05,Kamala Harris,Georgia,44.0
2024-08-05,Kamala Harris,Michigan,46.0
2024-08-05,Kamala Harris,National,45.93333333333334
2024-08-05,Kamala Harris,Nevada,40.0
2024-08-05,Kamala Harris,North Carolina,43.5
2024-08-05,Kamala Harris,Pennsylvania,46.25
2024-08-05,Kamala Harris,Wisconsin,47.660000000000004
2024-08-12,Donald Trump,Arizona,42.666666666666664
2024-08-12,Donald Trump,California,34.0
2024-08-12,Donald Trump,Georgia,46.5
2024-08-12,Donald Trump,Michigan,43.0
2024-08-12,Donald Trump,National,44.59090909090909
2024-08-12,Donald Trump,Nevada,46.5
2024-08-12,Donald Trump,North Carolina,44.0
2024-08-12,Donald Trump,Pennsylvania,44.14
2024-08-12,Donald Trump,Texas,53.3
2024-08-12,Donald Trump,Wisconsin,43.675
2024-08-12,Kamala Harris,Arizona,45.333333333333336
2024-08-12,Kamala Harris,California,59.0
2024-08-12,Kamala Harris,Georgia,45.0
2024-08-12,Kamala Harris,Michigan,45.0
2024-08-12,Kamala Harris,National,46.809090909090905
2024-08-12,Kamala Harris,Nevada,43.0
2024-08-12,Kamala Harris,North Carolina,46.0
2024-08-12,Kamala Harris,Pennsylvania,46.239999999999995
2024-08-12,Kamala Harris,Texas,46.7
2024-08-12,Kamala Harris,Wisconsin,47.75
2024-08-19,Donald Trump,Arizona,44.95
2024-08-19,Donald Trump,California,34.7
2024-08-19,Donald Trump,Georgia,47.7
2024-08-19,Donald Trump,Michigan,44.53333333333333
2024-08-19,Donald Trump,National,43.95384615384615
2024-08-19,Donald Trump,Nevada,42.7
2024-08-19,Donald Trump,North Carolina,46.53333333333333
2024-08-19,Donald Trump,Pennsylvania,46.88
2024-08-19,Donald Trump,Texas,49.5
2024-08-19,Donald Trump,Wisconsin,44.0
2024-08-19,Kamala Harris,Arizona,43.95
2024-08-19,Kamala Harris,California,65.3
2024-08-19,Kamala Harris,Georgia,45.65
2024-08-19,Kamala Harris,Michigan,47.199999999999996
2024-08-19,Kamala Harris,National,47.50769230769231
2024-08-19,Kamala Harris,Nevada,44.9
2024-08-19,Kamala Harris,North Carolina,46.0
2024-08-19,Kamala Harris,Pennsylvania,47.660000000000004
2024-08-19,Kamala Harris,Texas,44.6
2024-08-19,Kamala Harris,Wisconsin,48.8
2024-08-26,Donald Trump,Arizona,47.17142857142857
2024-08-26,Donald Trump,Georgia,46.78333333333333
2024-08-26,Donald Trump,Michigan,46.25
2024-08-26,Donald Trump,National,44.81333333333334
2024-08-26,Donald Trump,Nevada,47.14
2024-08-26,Donald Trump,North Carolina,48.15
2024-08-26,Donald Trump,Pennsylvania,45.68
2024-08-26,Donald Trump,Texas,54.5
2024-08-26,Donald Trump,Wisconsin,44.44
2024-08-26,Kamala Harris,Arizona,46.714285714285715
2024-08-26,Kamala Harris,Georgia,47.199999999999996
2024-08-26,Kamala Harris,Michigan,47.71666666666667
2024-08-26,Kamala Harris,National,48.480000000000004
2024-08-26,Kamala Harris,Nevada,47.78
2024-08-26,Kamala Harris,North Carolina,47.3625
2024-08-26,Kamala Harris,Pennsylvania,47.14
2024-08-26,Kamala Harris,Texas,45.5
2024-08-26,Kamala Harris,Wisconsin,48.480000000000004
2024-09-02,Donald Trump,Arizona,48.4
2024-09-02,Donald Trump,California,38.0
2024-09-02,Donald Trump,Georgia,47.0
2024-09-02,Donald Trump,Michigan,45.925
2024-09-02,Donald Trump,National,45.8
2024-09-02,Donald Trump,Nevada,47.0
2024-09-02,Donald Trump,Pennsylvania,47.666666666666664
2024-09-02,Donald Trump,Texas,49.95
2024-09-02,Donald Trump,Wisconsin,46.666666666666664
2024-09-02,Kamala Harris,Arizona,46.0
2024-09-02,Kamala Harris,California,60.8
2024-09-02,Kamala Harris,Georgia,48.0
2024-09-02,Kamala Harris,Michigan,47.125
2024-09-02,Kamala Harris,National,48.2
2024-09-02,Kamala Harris,Nevada,48.0
2024-09-02,Kamala Harris,Pennsylvania,47.666666666666664
2024-09-02,Kamala Harris,Texas,46.0
2024-09-02,Kamala Harris,Wisconsin,49.333333333333336
2024-09-09,Donald Trump,Arizona,48.025
2024-09-09,Donald Trump,Georgia,48.542
2024-09-09,Donald Trump,Michigan,46.620000000000005
2024-09-09,Donald Trump,National,45.54242424242425
2024-09-09,Donald Trump,Nevada,47.225
2024-09-09,Donald Trump,North Carolina,47.160000000000004
2024-09-09,Donald Trump,Pennsylvania,45.78
2024-09-09,Donald Trump,Texas,51.75
2024-09-09,Donald Trump,Wisconsin,46.358
2024-09-09,Kamala Harris,Arizona,46.445
2024-09-09,Kamala Harris,Georgia,47.238
2024-09-09,Kamala Harris,Michigan,47.865
2024-09-09,Kamala Harris,National,48.445454545454545
2024-09-09,Kamala Harris,Nevada,46.29
2024-09-09,Kamala Harris,North Carolina,47.417142857142856
2024-09-09,Kamala Harris,Pennsylvania,47.446666666666665
2024-09-09,Kamala Harris,Texas,43.43
2024-09-09,Kamala Harris,Wisconsin,49.696
2024-09-16,Donald Trump,Arizona,46.2
2024-09-16,Donald Trump,Michigan,46.0
2024-09-16,Donald Trump,National,45.2875
2024-09-16,Donald Trump,Pennsylvania,46.800000000000004
2024-09-16,Donald Trump,Wisconsin,48.0
2024-09-16,Kamala Harris,Arizona,46.0
2024-09-16,Kamala Harris,Michigan,51.0
2024-09-16,Kamala Harris,National,49.2125
2024-09-16,Kamala Harris,Pennsylvania,49.333333333333336
2024-09-16,Kamala Harris,Wisconsin,49.0
